MAPS IRMA BASTIA CTR BASTIA              N042.41.11.000 E009.24.00.000 N042.41.28.600 E009.24.59.500 COLOR_BIA-CTR
                                         N042.41.28.600 E009.24.59.500 N042.41.28.600 E009.24.59.500 COLOR_BIA-CTR
                                         N042.41.28.600 E009.24.59.500 N042.41.42.400 E009.26.00.900 COLOR_BIA-CTR
                                         N042.41.42.400 E009.26.00.900 N042.41.42.400 E009.26.00.900 COLOR_BIA-CTR
                                         N042.41.42.400 E009.26.00.900 N042.41.52.200 E009.27.03.700 COLOR_BIA-CTR
                                         N042.41.52.200 E009.27.03.700 N042.41.52.200 E009.27.03.700 COLOR_BIA-CTR
                                         N042.41.52.200 E009.27.03.700 N042.41.57.900 E009.28.07.400 COLOR_BIA-CTR
                                         N042.41.57.900 E009.28.07.400 N042.41.57.900 E009.28.07.400 COLOR_BIA-CTR
                                         N042.41.57.900 E009.28.07.400 N042.41.59.500 E009.29.11.500 COLOR_BIA-CTR
                                         N042.41.59.500 E009.29.11.500 N042.41.59.500 E009.29.11.500 COLOR_BIA-CTR
                                         N042.41.59.500 E009.29.11.500 N042.41.57.100 E009.30.15.600 COLOR_BIA-CTR
                                         N042.41.57.100 E009.30.15.600 N042.41.57.100 E009.30.15.600 COLOR_BIA-CTR
                                         N042.41.57.100 E009.30.15.600 N042.41.50.500 E009.31.19.200 COLOR_BIA-CTR
                                         N042.41.50.500 E009.31.19.200 N042.41.50.500 E009.31.19.200 COLOR_BIA-CTR
                                         N042.41.50.500 E009.31.19.200 N042.41.39.900 E009.32.21.700 COLOR_BIA-CTR
                                         N042.41.39.900 E009.32.21.700 N042.41.39.900 E009.32.21.700 COLOR_BIA-CTR
                                         N042.41.39.900 E009.32.21.700 N042.41.25.300 E009.33.22.800 COLOR_BIA-CTR
                                         N042.41.25.300 E009.33.22.800 N042.41.25.300 E009.33.22.800 COLOR_BIA-CTR
                                         N042.41.25.300 E009.33.22.800 N042.41.06.900 E009.34.21.900 COLOR_BIA-CTR
                                         N042.41.06.900 E009.34.21.900 N042.41.06.900 E009.34.21.900 COLOR_BIA-CTR
                                         N042.41.06.900 E009.34.21.900 N042.40.44.800 E009.35.18.500 COLOR_BIA-CTR
                                         N042.40.44.800 E009.35.18.500 N042.40.44.800 E009.35.18.500 COLOR_BIA-CTR
                                         N042.40.44.800 E009.35.18.500 N042.40.19.200 E009.36.12.300 COLOR_BIA-CTR
                                         N042.40.19.200 E009.36.12.300 N042.40.19.200 E009.36.12.300 COLOR_BIA-CTR
                                         N042.40.19.200 E009.36.12.300 N042.39.50.200 E009.37.02.900 COLOR_BIA-CTR
                                         N042.39.50.200 E009.37.02.900 N042.39.50.200 E009.37.02.900 COLOR_BIA-CTR
                                         N042.39.50.200 E009.37.02.900 N042.39.18.100 E009.37.49.900 COLOR_BIA-CTR
                                         N042.39.18.100 E009.37.49.900 N042.39.18.100 E009.37.49.900 COLOR_BIA-CTR
                                         N042.39.18.100 E009.37.49.900 N042.38.43.100 E009.38.32.800 COLOR_BIA-CTR
