MAPS CLERMONT CTR CLERMONT               N045.53.29.000 E003.11.51.000 N045.51.41.000 E003.22.51.000 COLOR_CFE-CTR
                                         N045.51.41.000 E003.22.51.000 N045.51.41.000 E003.22.51.000 COLOR_CFE-CTR
                                         N045.51.41.000 E003.22.51.000 N045.51.36.577 E003.23.15.028 COLOR_CFE-CTR
                                         N045.51.36.577 E003.23.15.028 N045.51.36.577 E003.23.15.028 COLOR_CFE-CTR
                                         N045.51.36.577 E003.23.15.028 N045.51.23.963 E003.23.58.671 COLOR_CFE-CTR
                                         N045.51.23.963 E003.23.58.671 N045.51.23.963 E003.23.58.671 COLOR_CFE-CTR
                                         N045.51.23.963 E003.23.58.671 N045.51.06.741 E003.24.38.949 COLOR_CFE-CTR
                                         N045.51.06.741 E003.24.38.949 N045.51.06.741 E003.24.38.949 COLOR_CFE-CTR
                                         N045.51.06.741 E003.24.38.949 N045.50.45.338 E003.25.14.870 COLOR_CFE-CTR
                                         N045.50.45.338 E003.25.14.870 N045.50.45.338 E003.25.14.870 COLOR_CFE-CTR
                                         N045.50.45.338 E003.25.14.870 N045.50.20.280 E003.25.45.549 COLOR_CFE-CTR
                                         N045.50.20.280 E003.25.45.549 N045.50.20.280 E003.25.45.549 COLOR_CFE-CTR
                                         N045.50.20.280 E003.25.45.549 N045.49.52.187 E003.26.10.231 COLOR_CFE-CTR
                                         N045.49.52.187 E003.26.10.231 N045.49.52.187 E003.26.10.231 COLOR_CFE-CTR
                                         N045.49.52.187 E003.26.10.231 N045.49.21.751 E003.26.28.309 COLOR_CFE-CTR
                                         N045.49.21.751 E003.26.28.309 N045.49.21.751 E003.26.28.309 COLOR_CFE-CTR
                                         N045.49.21.751 E003.26.28.309 N045.48.49.722 E003.26.39.337 COLOR_CFE-CTR
                                         N045.48.49.722 E003.26.39.337 N045.48.49.722 E003.26.39.337 COLOR_CFE-CTR
                                         N045.48.49.722 E003.26.39.337 N045.48.16.891 E003.26.43.043 COLOR_CFE-CTR
                                         N045.48.16.891 E003.26.43.043 N045.48.16.891 E003.26.43.043 COLOR_CFE-CTR
                                         N045.48.16.891 E003.26.43.043 N045.47.44.064 E003.26.39.337 COLOR_CFE-CTR
                                         N045.47.44.064 E003.26.39.337 N045.47.44.064 E003.26.39.337 COLOR_CFE-CTR
                                         N045.47.44.064 E003.26.39.337 N045.47.12.051 E003.26.28.309 COLOR_CFE-CTR
                                         N045.47.12.051 E003.26.28.309 N045.47.12.051 E003.26.28.309 COLOR_CFE-CTR
                                         N045.47.12.051 E003.26.28.309 N045.46.41.639 E003.26.10.231 COLOR_CFE-CTR
                                         N045.46.41.639 E003.26.10.231 N045.46.41.639 E003.26.10.231 COLOR_CFE-CTR
                                         N045.46.41.639 E003.26.10.231 N045.46.13.577 E003.25.45.549 COLOR_CFE-CTR
                                         N045.46.13.577 E003.25.45.549 N045.46.13.577 E003.25.45.549 COLOR_CFE-CTR
