MAPS CLERMONT CTR SAINT-ETIENNE          N045.27.46.000 E004.10.30.000 N045.36.39.000 E004.05.41.000 COLOR_CFE-CTR
                                         N045.36.39.000 E004.05.41.000 N045.36.39.000 E004.05.41.000 COLOR_CFE-CTR
                                         N045.36.39.000 E004.05.41.000 N045.37.44.313 E004.06.38.276 COLOR_CFE-CTR
                                         N045.37.44.313 E004.06.38.276 N045.37.44.313 E004.06.38.276 COLOR_CFE-CTR
                                         N045.37.44.313 E004.06.38.276 N045.38.53.840 E004.08.02.891 COLOR_CFE-CTR
                                         N045.38.53.840 E004.08.02.891 N045.38.53.840 E004.08.02.891 COLOR_CFE-CTR
                                         N045.38.53.840 E004.08.02.891 N045.39.53.241 E004.09.41.963 COLOR_CFE-CTR
                                         N045.39.53.241 E004.09.41.963 N045.39.53.241 E004.09.41.963 COLOR_CFE-CTR
                                         N045.39.53.241 E004.09.41.963 N045.40.41.044 E004.11.33.052 COLOR_CFE-CTR
                                         N045.40.41.044 E004.11.33.052 N045.40.41.044 E004.11.33.052 COLOR_CFE-CTR
                                         N045.40.41.044 E004.11.33.052 N045.41.16.062 E004.13.33.424 COLOR_CFE-CTR
                                         N045.41.16.062 E004.13.33.424 N045.41.16.062 E004.13.33.424 COLOR_CFE-CTR
                                         N045.41.16.062 E004.13.33.424 N045.41.37.427 E004.15.40.113 COLOR_CFE-CTR
                                         N045.41.37.427 E004.15.40.113 N045.41.37.427 E004.15.40.113 COLOR_CFE-CTR
                                         N045.41.37.427 E004.15.40.113 N045.41.44.608 E004.17.50.000 COLOR_CFE-CTR
                                         N045.41.44.608 E004.17.50.000 N045.41.44.608 E004.17.50.000 COLOR_CFE-CTR
                                         N045.41.44.608 E004.17.50.000 N045.41.37.427 E004.19.59.888 COLOR_CFE-CTR
                                         N045.41.37.427 E004.19.59.888 N045.41.37.427 E004.19.59.888 COLOR_CFE-CTR
                                         N045.41.37.427 E004.19.59.888 N045.41.16.062 E004.22.06.577 COLOR_CFE-CTR
                                         N045.41.16.062 E004.22.06.577 N045.41.16.062 E004.22.06.577 COLOR_CFE-CTR
                                         N045.41.16.062 E004.22.06.577 N045.41.08.000 E004.22.39.000 COLOR_CFE-CTR
                                         N045.41.08.000 E004.22.39.000 N045.41.08.000 E004.22.39.000 COLOR_CFE-CTR
                                         N045.41.08.000 E004.22.39.000 N045.31.12.000 E004.23.57.000 COLOR_CFE-CTR
                                         N045.31.12.000 E004.23.57.000 N045.31.12.000 E004.23.57.000 COLOR_CFE-CTR
                                         N045.31.12.000 E004.23.57.000 N045.27.46.000 E004.10.30.000 COLOR_CFE-CTR
                                         N045.31.12.000 E004.23.57.000 N045.25.39.000 E004.24.40.000 COLOR_CFE-CTR
                                         N045.25.39.000 E004.24.40.000 N045.25.39.000 E004.24.40.000 COLOR_CFE-CTR
                                         N045.25.39.000 E004.24.40.000 N045.25.34.738 E004.24.32.505 COLOR_CFE-CTR
                                         N045.25.34.738 E004.24.32.505 N045.25.34.738 E004.24.32.505 COLOR_CFE-CTR
                                         N045.25.34.738 E004.24.32.505 N045.24.55.489 E004.23.00.885 COLOR_CFE-CTR
                                         N045.24.55.489 E004.23.00.885 N045.24.55.489 E004.23.00.885 COLOR_CFE-CTR
                                         N045.24.55.489 E004.23.00.885 N045.24.26.747 E004.21.21.610 COLOR_CFE-CTR
                                         N045.24.26.747 E004.21.21.610 N045.24.26.747 E004.21.21.610 COLOR_CFE-CTR
                                         N045.24.26.747 E004.21.21.610 N045.24.09.216 E004.19.37.124 COLOR_CFE-CTR
                                         N045.24.09.216 E004.19.37.124 N045.24.09.216 E004.19.37.124 COLOR_CFE-CTR
                                         N045.24.09.216 E004.19.37.124 N045.24.03.324 E004.17.50.000 COLOR_CFE-CTR
                                         N045.24.03.324 E004.17.50.000 N045.24.03.324 E004.17.50.000 COLOR_CFE-CTR
                                         N045.24.03.324 E004.17.50.000 N045.24.09.216 E004.16.02.877 COLOR_CFE-CTR
                                         N045.24.09.216 E004.16.02.877 N045.24.09.216 E004.16.02.877 COLOR_CFE-CTR
                                         N045.24.09.216 E004.16.02.877 N045.24.26.747 E004.14.18.391 COLOR_CFE-CTR
                                         N045.24.26.747 E004.14.18.391 N045.24.26.747 E004.14.18.391 COLOR_CFE-CTR
                                         N045.24.26.747 E004.14.18.391 N045.24.55.489 E004.12.39.116 COLOR_CFE-CTR
                                         N045.24.55.489 E004.12.39.116 N045.24.55.489 E004.12.39.116 COLOR_CFE-CTR
                                         N045.24.55.489 E004.12.39.116 N045.25.15.000 E004.11.52.000 COLOR_CFE-CTR
                                         N045.25.15.000 E004.11.52.000 N045.25.15.000 E004.11.52.000 COLOR_CFE-CTR
                                         N045.25.15.000 E004.11.52.000 N045.27.46.000 E004.10.30.000 COLOR_CFE-CTR
                                         N045.27.46.000 E004.10.30.000 N045.27.46.000 E004.10.30.000 COLOR_CFE-CTR
                                         N045.27.46.000 E004.10.30.000 N045.31.12.000 E004.23.57.000 COLOR_CFE-CTR
