MAPS CLERMONT TMA CLERMONT               N045.56.37.000 E003.04.10.000 N045.59.26.000 E003.32.21.000 COLOR_CFE-TMA1
                                         N045.59.26.000 E003.32.21.000 N045.59.26.000 E003.32.21.000 COLOR_CFE-TMA1
                                         N045.59.26.000 E003.32.21.000 N045.58.52.511 E003.32.56.260 COLOR_CFE-TMA1
                                         N045.58.52.511 E003.32.56.260 N045.58.52.511 E003.32.56.260 COLOR_CFE-TMA1
                                         N045.58.52.511 E003.32.56.260 N045.56.11.567 E003.35.17.252 COLOR_CFE-TMA1
                                         N045.56.11.567 E003.35.17.252 N045.56.11.567 E003.35.17.252 COLOR_CFE-TMA1
                                         N045.56.11.567 E003.35.17.252 N045.53.17.322 E003.37.00.515 COLOR_CFE-TMA1
                                         N045.53.17.322 E003.37.00.515 N045.53.17.322 E003.37.00.515 COLOR_CFE-TMA1
                                         N045.53.17.322 E003.37.00.515 N045.50.14.096 E003.38.03.508 COLOR_CFE-TMA1
                                         N045.50.14.096 E003.38.03.508 N045.50.14.096 E003.38.03.508 COLOR_CFE-TMA1
                                         N045.50.14.096 E003.38.03.508 N045.47.06.417 E003.38.24.679 COLOR_CFE-TMA1
                                         N045.47.06.417 E003.38.24.679 N045.47.06.417 E003.38.24.679 COLOR_CFE-TMA1
                                         N045.47.06.417 E003.38.24.679 N045.43.58.915 E003.38.03.508 COLOR_CFE-TMA1
                                         N045.43.58.915 E003.38.03.508 N045.43.58.915 E003.38.03.508 COLOR_CFE-TMA1
                                         N045.43.58.915 E003.38.03.508 N045.40.56.197 E003.37.00.515 COLOR_CFE-TMA1
                                         N045.40.56.197 E003.37.00.515 N045.40.56.197 E003.37.00.515 COLOR_CFE-TMA1
                                         N045.40.56.197 E003.37.00.515 N045.39.39.000 E003.36.12.000 COLOR_CFE-TMA1
                                         N045.39.39.000 E003.36.12.000 N045.39.39.000 E003.36.12.000 COLOR_CFE-TMA1
                                         N045.39.39.000 E003.36.12.000 N045.36.50.000 E003.08.19.000 COLOR_CFE-TMA1
                                         N045.36.50.000 E003.08.19.000 N045.36.50.000 E003.08.19.000 COLOR_CFE-TMA1
                                         N045.36.50.000 E003.08.19.000 N045.37.24.796 E003.07.32.894 COLOR_CFE-TMA1
                                         N045.37.24.796 E003.07.32.894 N045.37.24.796 E003.07.32.894 COLOR_CFE-TMA1
                                         N045.37.24.796 E003.07.32.894 N045.40.04.741 E003.05.11.816 COLOR_CFE-TMA1
                                         N045.40.04.741 E003.05.11.816 N045.40.04.741 E003.05.11.816 COLOR_CFE-TMA1
                                         N045.40.04.741 E003.05.11.816 N045.42.58.193 E003.03.28.490 COLOR_CFE-TMA1
                                         N045.42.58.193 E003.03.28.490 N045.42.58.193 E003.03.28.490 COLOR_CFE-TMA1
                                         N045.42.58.193 E003.03.28.490 N045.46.00.910 E003.02.25.460 COLOR_CFE-TMA1
                                         N045.46.00.910 E003.02.25.460 N045.46.00.910 E003.02.25.460 COLOR_CFE-TMA1
                                         N045.46.00.910 E003.02.25.460 N045.49.08.413 E003.02.04.276 COLOR_CFE-TMA1
                                         N045.49.08.413 E003.02.04.276 N045.49.08.413 E003.02.04.276 COLOR_CFE-TMA1
                                         N045.49.08.413 E003.02.04.276 N045.52.16.092 E003.02.25.460 COLOR_CFE-TMA1
                                         N045.52.16.092 E003.02.25.460 N045.52.16.092 E003.02.25.460 COLOR_CFE-TMA1
                                         N045.52.16.092 E003.02.25.460 N045.55.19.318 E003.03.28.490 COLOR_CFE-TMA1
                                         N045.55.19.318 E003.03.28.490 N045.55.19.318 E003.03.28.490 COLOR_CFE-TMA1
                                         N045.55.19.318 E003.03.28.490 N045.56.37.000 E003.04.10.000 COLOR_CFE-TMA1
                                         N045.39.39.000 E003.36.12.000 N045.37.50.000 E003.37.00.000 COLOR_CFE-TMA1
                                         N045.37.50.000 E003.37.00.000 N045.37.50.000 E003.37.00.000 COLOR_CFE-TMA1
                                         N045.37.50.000 E003.37.00.000 N045.33.39.000 E003.26.37.000 COLOR_CFE-TMA1
                                         N045.33.39.000 E003.26.37.000 N045.33.39.000 E003.26.37.000 COLOR_CFE-TMA1
                                         N045.33.39.000 E003.26.37.000 N045.32.29.000 E003.15.14.000 COLOR_CFE-TMA1
                                         N045.32.29.000 E003.15.14.000 N045.32.29.000 E003.15.14.000 COLOR_CFE-TMA1
                                         N045.32.29.000 E003.15.14.000 N045.37.25.000 E003.14.00.000 COLOR_CFE-TMA1
                                         N045.37.25.000 E003.14.00.000 N045.37.25.000 E003.14.00.000 COLOR_CFE-TMA1
                                         N045.37.25.000 E003.14.00.000 N045.39.39.000 E003.36.12.000 COLOR_CFE-TMA1
                                         N045.37.25.000 E003.14.00.000 N045.32.29.000 E003.15.14.000 COLOR_CFE-TMA1
                                         N045.32.29.000 E003.15.14.000 N045.32.29.000 E003.15.14.000 COLOR_CFE-TMA1
                                         N045.32.29.000 E003.15.14.000 N045.30.56.000 E003.00.23.000 COLOR_CFE-TMA1
                                         N045.30.56.000 E003.00.23.000 N045.30.56.000 E003.00.23.000 COLOR_CFE-TMA1
                                         N045.30.56.000 E003.00.23.000 N045.35.59.000 E003.00.10.000 COLOR_CFE-TMA1
                                         N045.35.59.000 E003.00.10.000 N045.35.59.000 E003.00.10.000 COLOR_CFE-TMA1
                                         N045.35.59.000 E003.00.10.000 N045.36.50.000 E003.08.19.000 COLOR_CFE-TMA1
                                         N045.36.50.000 E003.08.19.000 N045.36.50.000 E003.08.19.000 COLOR_CFE-TMA1
                                         N045.36.50.000 E003.08.19.000 N045.37.25.000 E003.14.00.000 COLOR_CFE-TMA1
                                         N045.48.44.000 E002.59.24.000 N045.48.24.000 E003.02.05.000 COLOR_CFE-TMA1
                                         N045.48.24.000 E003.02.05.000 N045.48.24.000 E003.02.05.000 COLOR_CFE-TMA1
                                         N045.48.24.000 E003.02.05.000 N045.46.00.910 E003.02.25.460 COLOR_CFE-TMA1
                                         N045.46.00.910 E003.02.25.460 N045.46.00.910 E003.02.25.460 COLOR_CFE-TMA1
                                         N045.46.00.910 E003.02.25.460 N045.42.58.193 E003.03.28.490 COLOR_CFE-TMA1
                                         N045.42.58.193 E003.03.28.490 N045.42.58.193 E003.03.28.490 COLOR_CFE-TMA1
                                         N045.42.58.193 E003.03.28.490 N045.40.04.741 E003.05.11.816 COLOR_CFE-TMA1
                                         N045.40.04.741 E003.05.11.816 N045.40.04.741 E003.05.11.816 COLOR_CFE-TMA1
                                         N045.40.04.741 E003.05.11.816 N045.37.24.796 E003.07.32.894 COLOR_CFE-TMA1
                                         N045.37.24.796 E003.07.32.894 N045.37.24.796 E003.07.32.894 COLOR_CFE-TMA1
                                         N045.37.24.796 E003.07.32.894 N045.36.50.000 E003.08.19.000 COLOR_CFE-TMA1
                                         N045.36.50.000 E003.08.19.000 N045.36.50.000 E003.08.19.000 COLOR_CFE-TMA1
                                         N045.36.50.000 E003.08.19.000 N045.35.59.000 E003.00.10.000 COLOR_CFE-TMA1
                                         N045.35.59.000 E003.00.10.000 N045.35.59.000 E003.00.10.000 COLOR_CFE-TMA1
                                         N045.35.59.000 E003.00.10.000 N045.44.14.000 E002.59.45.000 COLOR_CFE-TMA1
                                         N045.44.14.000 E002.59.45.000 N045.44.14.000 E002.59.45.000 COLOR_CFE-TMA1
                                         N045.44.14.000 E002.59.45.000 N045.47.21.000 E002.59.36.000 COLOR_CFE-TMA1
                                         N045.47.21.000 E002.59.36.000 N045.47.21.000 E002.59.36.000 COLOR_CFE-TMA1
                                         N045.47.21.000 E002.59.36.000 N045.48.44.000 E002.59.24.000 COLOR_CFE-TMA1
                                         N046.12.00.000 E003.38.00.000 N046.06.16.000 E003.41.00.000 COLOR_CFE-TMA1
                                         N046.06.16.000 E003.41.00.000 N046.06.16.000 E003.41.00.000 COLOR_CFE-TMA1
                                         N046.06.16.000 E003.41.00.000 N046.00.00.000 E003.44.16.000 COLOR_CFE-TMA1
                                         N046.00.00.000 E003.44.16.000 N046.00.00.000 E003.44.16.000 COLOR_CFE-TMA1
                                         N046.00.00.000 E003.44.16.000 N045.58.10.000 E003.53.53.000 COLOR_CFE-TMA1
                                         N045.58.10.000 E003.53.53.000 N045.58.10.000 E003.53.53.000 COLOR_CFE-TMA1
                                         N045.58.10.000 E003.53.53.000 N045.47.00.000 E004.00.00.000 COLOR_CFE-TMA1
                                         N045.47.00.000 E004.00.00.000 N045.47.00.000 E004.00.00.000 COLOR_CFE-TMA1
                                         N045.47.00.000 E004.00.00.000 N045.37.50.000 E003.37.00.000 COLOR_CFE-TMA1
                                         N045.37.50.000 E003.37.00.000 N045.37.50.000 E003.37.00.000 COLOR_CFE-TMA1
                                         N045.37.50.000 E003.37.00.000 N045.33.39.000 E003.26.37.000 COLOR_CFE-TMA1
                                         N045.33.39.000 E003.26.37.000 N045.33.39.000 E003.26.37.000 COLOR_CFE-TMA1
                                         N045.33.39.000 E003.26.37.000 N045.32.29.000 E003.15.14.000 COLOR_CFE-TMA1
                                         N045.32.29.000 E003.15.14.000 N045.32.29.000 E003.15.14.000 COLOR_CFE-TMA1
                                         N045.32.29.000 E003.15.14.000 N045.30.56.000 E003.00.23.000 COLOR_CFE-TMA1
                                         N045.30.56.000 E003.00.23.000 N045.30.56.000 E003.00.23.000 COLOR_CFE-TMA1
                                         N045.30.56.000 E003.00.23.000 N045.35.59.000 E003.00.10.000 COLOR_CFE-TMA1
                                         N045.35.59.000 E003.00.10.000 N045.35.59.000 E003.00.10.000 COLOR_CFE-TMA1
                                         N045.35.59.000 E003.00.10.000 N045.44.14.000 E002.59.45.000 COLOR_CFE-TMA1
                                         N045.44.14.000 E002.59.45.000 N045.44.14.000 E002.59.45.000 COLOR_CFE-TMA1
                                         N045.44.14.000 E002.59.45.000 N045.47.21.000 E002.59.36.000 COLOR_CFE-TMA1
                                         N045.47.21.000 E002.59.36.000 N045.47.21.000 E002.59.36.000 COLOR_CFE-TMA1
                                         N045.47.21.000 E002.59.36.000 N045.48.44.000 E002.59.24.000 COLOR_CFE-TMA1
                                         N045.48.44.000 E002.59.24.000 N045.48.44.000 E002.59.24.000 COLOR_CFE-TMA1
                                         N045.48.44.000 E002.59.24.000 N046.10.40.000 E002.56.11.000 COLOR_CFE-TMA1
                                         N046.10.40.000 E002.56.11.000 N046.10.40.000 E002.56.11.000 COLOR_CFE-TMA1
                                         N046.10.40.000 E002.56.11.000 N046.12.00.000 E003.38.00.000 COLOR_CFE-TMA1
                                         N046.06.16.000 E003.41.00.000 N046.03.00.000 E003.51.14.000 COLOR_CFE-TMA1
                                         N046.03.00.000 E003.51.14.000 N046.03.00.000 E003.51.14.000 COLOR_CFE-TMA1
                                         N046.03.00.000 E003.51.14.000 N045.58.10.000 E003.53.53.000 COLOR_CFE-TMA1
                                         N045.58.10.000 E003.53.53.000 N045.58.10.000 E003.53.53.000 COLOR_CFE-TMA1
                                         N045.58.10.000 E003.53.53.000 N046.00.00.000 E003.44.16.000 COLOR_CFE-TMA1
                                         N046.00.00.000 E003.44.16.000 N046.00.00.000 E003.44.16.000 COLOR_CFE-TMA1
                                         N046.00.00.000 E003.44.16.000 N046.06.16.000 E003.41.00.000 COLOR_CFE-TMA1
                                         N045.47.00.000 E004.00.00.000 N045.34.54.000 E004.06.32.000 COLOR_CFE-TMA1
                                         N045.34.54.000 E004.06.32.000 N045.34.54.000 E004.06.32.000 COLOR_CFE-TMA1
                                         N045.34.54.000 E004.06.32.000 N045.26.14.000 E003.39.54.000 COLOR_CFE-TMA1
                                         N045.26.14.000 E003.39.54.000 N045.26.14.000 E003.39.54.000 COLOR_CFE-TMA1
                                         N045.26.14.000 E003.39.54.000 N045.37.50.000 E003.37.00.000 COLOR_CFE-TMA1
                                         N045.37.50.000 E003.37.00.000 N045.37.50.000 E003.37.00.000 COLOR_CFE-TMA1
                                         N045.37.50.000 E003.37.00.000 N045.47.00.000 E004.00.00.000 COLOR_CFE-TMA1
                                         N045.32.29.000 E003.15.14.000 N045.19.11.000 E003.18.33.000 COLOR_CFE-TMA1
                                         N045.19.11.000 E003.18.33.000 N045.19.11.000 E003.18.33.000 COLOR_CFE-TMA1
                                         N045.19.11.000 E003.18.33.000 N045.13.24.000 E003.01.16.000 COLOR_CFE-TMA1
                                         N045.13.24.000 E003.01.16.000 N045.13.24.000 E003.01.16.000 COLOR_CFE-TMA1
                                         N045.13.24.000 E003.01.16.000 N045.30.56.000 E003.00.23.000 COLOR_CFE-TMA1
                                         N045.30.56.000 E003.00.23.000 N045.30.56.000 E003.00.23.000 COLOR_CFE-TMA1
                                         N045.30.56.000 E003.00.23.000 N045.32.29.000 E003.15.14.000 COLOR_CFE-TMA1
                                         N045.47.00.000 E004.00.00.000 N045.34.54.000 E004.06.32.000 COLOR_CFE-TMA1
                                         N045.34.54.000 E004.06.32.000 N045.34.54.000 E004.06.32.000 COLOR_CFE-TMA1
                                         N045.34.54.000 E004.06.32.000 N045.26.14.000 E003.39.54.000 COLOR_CFE-TMA1
                                         N045.26.14.000 E003.39.54.000 N045.26.14.000 E003.39.54.000 COLOR_CFE-TMA1
                                         N045.26.14.000 E003.39.54.000 N045.19.11.000 E003.18.33.000 COLOR_CFE-TMA1
                                         N045.19.11.000 E003.18.33.000 N045.19.11.000 E003.18.33.000 COLOR_CFE-TMA1
                                         N045.19.11.000 E003.18.33.000 N045.13.24.000 E003.01.16.000 COLOR_CFE-TMA1
                                         N045.13.24.000 E003.01.16.000 N045.13.24.000 E003.01.16.000 COLOR_CFE-TMA1
                                         N045.13.24.000 E003.01.16.000 N045.30.56.000 E003.00.23.000 COLOR_CFE-TMA1
                                         N045.30.56.000 E003.00.23.000 N045.30.56.000 E003.00.23.000 COLOR_CFE-TMA1
                                         N045.30.56.000 E003.00.23.000 N045.32.29.000 E003.15.14.000 COLOR_CFE-TMA1
                                         N045.32.29.000 E003.15.14.000 N045.32.29.000 E003.15.14.000 COLOR_CFE-TMA1
                                         N045.32.29.000 E003.15.14.000 N045.33.39.000 E003.26.37.000 COLOR_CFE-TMA1
                                         N045.33.39.000 E003.26.37.000 N045.33.39.000 E003.26.37.000 COLOR_CFE-TMA1
                                         N045.33.39.000 E003.26.37.000 N045.37.50.000 E003.37.00.000 COLOR_CFE-TMA1
                                         N045.37.50.000 E003.37.00.000 N045.37.50.000 E003.37.00.000 COLOR_CFE-TMA1
                                         N045.37.50.000 E003.37.00.000 N045.47.00.000 E004.00.00.000 COLOR_CFE-TMA1
                                         N045.52.14.000 E002.30.00.000 N045.48.44.000 E002.59.24.000 COLOR_CFE-TMA1
                                         N045.48.44.000 E002.59.24.000 N045.48.44.000 E002.59.24.000 COLOR_CFE-TMA1
                                         N045.48.44.000 E002.59.24.000 N045.47.21.000 E002.59.36.000 COLOR_CFE-TMA1
                                         N045.47.21.000 E002.59.36.000 N045.47.21.000 E002.59.36.000 COLOR_CFE-TMA1
                                         N045.47.21.000 E002.59.36.000 N045.44.14.000 E002.59.45.000 COLOR_CFE-TMA1
                                         N045.44.14.000 E002.59.45.000 N045.44.14.000 E002.59.45.000 COLOR_CFE-TMA1
                                         N045.44.14.000 E002.59.45.000 N045.36.31.000 E002.30.00.000 COLOR_CFE-TMA1
                                         N045.36.31.000 E002.30.00.000 N045.36.31.000 E002.30.00.000 COLOR_CFE-TMA1
                                         N045.36.31.000 E002.30.00.000 N045.52.14.000 E002.30.00.000 COLOR_CFE-TMA1
                                         N046.15.20.000 E002.55.40.000 N046.10.40.000 E002.56.11.000 COLOR_CFE-TMA1
                                         N046.10.40.000 E002.56.11.000 N046.10.40.000 E002.56.11.000 COLOR_CFE-TMA1
                                         N046.10.40.000 E002.56.11.000 N045.48.44.000 E002.59.24.000 COLOR_CFE-TMA1
                                         N045.48.44.000 E002.59.24.000 N045.48.44.000 E002.59.24.000 COLOR_CFE-TMA1
                                         N045.48.44.000 E002.59.24.000 N045.47.21.000 E002.59.36.000 COLOR_CFE-TMA1
                                         N045.47.21.000 E002.59.36.000 N045.47.21.000 E002.59.36.000 COLOR_CFE-TMA1
                                         N045.47.21.000 E002.59.36.000 N045.44.14.000 E002.59.45.000 COLOR_CFE-TMA1
                                         N045.44.14.000 E002.59.45.000 N045.44.14.000 E002.59.45.000 COLOR_CFE-TMA1
                                         N045.44.14.000 E002.59.45.000 N045.35.59.000 E003.00.10.000 COLOR_CFE-TMA1
                                         N045.35.59.000 E003.00.10.000 N045.35.59.000 E003.00.10.000 COLOR_CFE-TMA1
                                         N045.35.59.000 E003.00.10.000 N045.30.56.000 E003.00.23.000 COLOR_CFE-TMA1
                                         N045.30.56.000 E003.00.23.000 N045.30.56.000 E003.00.23.000 COLOR_CFE-TMA1
                                         N045.30.56.000 E003.00.23.000 N045.13.24.000 E003.01.16.000 COLOR_CFE-TMA1
                                         N045.13.24.000 E003.01.16.000 N045.13.24.000 E003.01.16.000 COLOR_CFE-TMA1
                                         N045.13.24.000 E003.01.16.000 N045.10.00.000 E002.36.17.000 COLOR_CFE-TMA1
                                         N045.10.00.000 E002.36.17.000 N045.10.00.000 E002.36.17.000 COLOR_CFE-TMA1
                                         N045.10.00.000 E002.36.17.000 N045.10.00.000 E002.30.00.000 COLOR_CFE-TMA1
                                         N045.10.00.000 E002.30.00.000 N045.10.00.000 E002.30.00.000 COLOR_CFE-TMA1
                                         N045.10.00.000 E002.30.00.000 N045.36.31.000 E002.30.00.000 COLOR_CFE-TMA1
                                         N045.36.31.000 E002.30.00.000 N045.36.31.000 E002.30.00.000 COLOR_CFE-TMA1
                                         N045.36.31.000 E002.30.00.000 N045.52.14.000 E002.30.00.000 COLOR_CFE-TMA1
                                         N045.52.14.000 E002.30.00.000 N045.52.14.000 E002.30.00.000 COLOR_CFE-TMA1
                                         N045.52.14.000 E002.30.00.000 N046.13.46.000 E002.30.00.000 COLOR_CFE-TMA1
                                         N046.13.46.000 E002.30.00.000 N046.13.46.000 E002.30.00.000 COLOR_CFE-TMA1
                                         N046.13.46.000 E002.30.00.000 N046.15.35.000 E002.35.20.000 COLOR_CFE-TMA1
                                         N046.15.35.000 E002.35.20.000 N046.15.35.000 E002.35.20.000 COLOR_CFE-TMA1
