REGIONNAME MAPS CLERMONT AoR SIV
COLOR_CFE-AAoR1                   N046.13.46.000 E002.30.00.000
                                  N046.15.35.000 E002.35.20.000
                                  N046.15.20.000 E002.55.40.000
                                  N046.19.60.000 E002.55.00.000
                                  N046.34.39.000 E002.52.05.000
                                  N046.43.41.000 E003.18.47.000
                                  N046.58.60.000 E003.22.60.000
                                  N047.06.35.000 E003.30.07.000
                                  N047.21.33.000 E004.16.15.000
                                  N046.52.48.000 E004.22.01.000
                                  N046.34.60.000 E004.39.00.000
                                  N046.30.00.000 E004.40.29.000
                                  N046.18.26.000 E004.43.52.000
                                  N046.13.05.000 E004.40.15.000
                                  N046.12.13.000 E004.39.41.000
                                  N046.05.10.000 E004.12.13.000
                                  N045.55.26.000 E004.17.25.000
                                  N045.44.36.000 E004.22.59.000
                                  N045.17.00.000 E004.37.00.000
                                  N044.55.27.000 E004.42.53.000
                                  N044.40.07.000 E004.44.42.000
                                  N044.40.07.000 E004.27.17.000
                                  N044.40.00.000 E003.42.06.000
                                  N044.52.33.000 E003.17.00.000
                                  N044.52.33.000 E003.02.55.000
                                  N044.53.04.000 E003.01.57.000
                                  N044.37.29.000 E003.02.28.000
                                  N044.01.33.000 E002.49.22.000
                                  N044.03.30.000 E002.36.20.000
                                  N044.09.60.000 E001.51.30.000
                                  N044.17.36.000 E001.48.16.000
                                  N044.17.43.000 E001.44.56.000
                                  N044.20.46.000 E001.01.32.000
                                  N044.30.00.000 E001.02.13.000
                                  N044.44.52.000 E001.03.28.000
                                  N044.46.49.000 E001.28.39.000
                                  N044.45.34.000 E002.00.00.000
                                  N045.18.56.000 E002.00.00.000
                                  N045.26.10.000 E002.30.00.000
                                  N045.27.39.000 E002.30.00.000
