REGIONNAME MAPS CLERMONT AoR TMA
COLOR_CFE-AAoR3                   N046.13.46.000 E002.30.00.000
                                  N046.15.35.000 E002.35.20.000
                                  N046.15.20.000 E002.55.40.000
                                  N046.19.60.000 E002.55.00.000
                                  N046.19.60.000 E003.33.60.000
                                  N046.18.30.000 E003.37.60.000
                                  N046.12.00.000 E003.37.60.000
                                  N046.06.16.000 E003.41.00.000
                                  N046.03.00.000 E003.51.14.000
                                  N045.58.10.000 E003.53.53.000
                                  N045.55.26.000 E004.17.25.000
                                  N045.17.00.000 E004.37.00.000
                                  N045.16.00.000 E004.31.60.000
                                  N045.14.00.035 E004.25.30.000
                                  N045.12.00.000 E004.19.00.000
                                  N045.34.54.000 E004.06.32.000
                                  N045.26.14.000 E003.39.54.000
                                  N045.19.11.000 E003.18.33.000
                                  N045.13.24.000 E003.01.16.000
                                  N045.10.00.000 E002.36.17.000
                                  N045.10.00.000 E002.30.00.000
                                  N045.15.13.000 E002.30.00.000
                                  N045.26.10.000 E002.30.00.000
                                  N045.27.39.000 E002.30.00.000
                                  N045.36.31.000 E002.30.00.000
                                  N045.52.14.000 E002.30.00.000

REGIONNAME MAPS CLERMONT AoR TMA
COLOR_CFE-AAoR3                   N044.46.33.000 E001.35.56.000
                                  N044.45.34.000 E002.00.00.000
                                  N044.45.00.000 E002.13.27.000
                                  N044.43.01.000 E003.02.17.000
                                  N044.37.29.000 E003.02.28.000
                                  N044.01.33.000 E002.49.22.000
                                  N044.03.30.000 E002.36.20.000
                                  N044.07.41.000 E002.07.41.000
                                  N044.09.60.000 E001.51.30.000
