REGIONNAME MAPS IRMA NICE AoR CTR HYERES
COLOR_NCE-AAoR2                   N043.10.30.000 E006.02.36.000
                                  N043.10.31.000 E006.14.51.000
                                  N043.06.22.000 E006.22.07.000
                                  N043.04.48.000 E006.23.45.000
                                  N042.56.47.000 E006.14.58.000
                                  N042.56.46.000 E005.57.41.000
                                  N043.00.03.000 E005.54.25.000
                                  N043.04.04.000 E006.00.07.000
                                  N043.04.44.696 E005.59.57.837
                                  N043.05.45.656 E005.59.51.266
                                  N043.06.46.632 E005.59.57.837
                                  N043.07.46.124 E006.00.17.389
                                  N043.08.42.664 E006.00.49.439
                                  N043.09.34.856 E006.01.33.200
                                  N043.10.21.414 E006.02.27.593
