REGIONNAME MAPS IRMA NICE AoR TMA
COLOR_NCE-AAoR1                   N043.37.30.000 E005.59.00.000
                                  N043.40.30.000 E006.13.20.000
                                  N043.37.30.000 E006.19.15.000
                                  N043.37.30.000 E006.30.20.000
                                  N043.39.20.000 E006.37.55.000
                                  N043.40.48.000 E006.44.01.000
                                  N044.04.52.000 E006.38.51.000
                                  N044.08.09.233 E006.44.28.700
                                  N044.11.02.728 E006.50.56.857
                                  N044.13.09.888 E006.57.57.456
                                  N044.13.56.000 E007.01.30.000
                                  N044.13.20.698 E007.02.22.654
                                  N044.13.51.880 E007.03.56.677
                                  N044.12.19.991 E007.08.30.975
                                  N044.11.40.996 E007.10.14.322
                                  N044.11.56.595 E007.10.59.391
                                  N044.11.09.238 E007.11.16.486
                                  N044.11.07.566 E007.11.50.676
                                  N044.10.02.362 E007.12.42.738
                                  N044.10.21.312 E007.13.54.227
                                  N044.08.14.760 E007.16.32.744
                                  N044.08.38.181 E007.20.08.764
                                  N044.08.11.414 E007.20.41.400
                                  N044.06.47.746 E007.21.17.144
                                  N044.07.33.489 E007.23.13.701
                                  N044.07.26.795 E007.24.51.609
                                  N044.07.46.875 E007.25.24.245
                                  N044.07.26.795 E007.27.16.140
                                  N044.08.40.411 E007.29.46.887
                                  N044.08.08.068 E007.30.44.389
                                  N044.09.10.519 E007.33.47.772
                                  N044.09.00.484 E007.36.29.398
                                  N044.10.39.703 E007.37.09.805
                                  N044.10.34.131 E007.40.27.175
                                  N044.09.07.174 E007.39.37.444
                                  N044.08.43.757 E007.40.02.309
                                  N044.07.55.799 E007.39.18.795
                                  N044.07.23.449 E007.39.35.890
                                  N044.06.22.082 E007.41.01.365
                                  N044.05.56.414 E007.41.04.473
                                  N044.05.07.302 E007.42.36.165
                                  N044.03.34.628 E007.42.09.745
                                  N043.50.33.677 E008.02.17.278
                                  N043.42.12.290 E007.49.42.266
                                  N043.34.13.000 E008.19.18.000
                                  N043.30.23.000 E008.32.51.000
                                  N042.49.03.000 E008.07.25.000
                                  N042.38.37.000 E007.41.57.000
                                  N042.52.04.000 E007.15.12.000
                                  N042.50.00.000 E006.39.60.000
                                  N042.39.60.000 E006.39.60.000
                                  N042.39.60.000 E005.37.60.000
                                  N043.01.60.000 E005.37.60.000
                                  N043.10.30.000 E005.52.00.000
                                  N043.10.30.000 E006.01.15.749
                                  N043.28.14.000 E005.59.00.000
