REGIONNAME MAPS IRMA NICE CONE BISBO
COLOR_NCE-Cone                    N043.17.42.421 E007.25.02.881
                                  N043.17.28.408 E007.24.43.436
                                  N043.17.14.640 E007.24.23.660
                                  N043.17.01.123 E007.24.03.560
                                  N043.16.47.860 E007.23.43.142
                                  N043.16.34.855 E007.23.22.412
                                  N043.16.22.113 E007.23.01.376
                                  N043.16.09.637 E007.22.40.040
                                  N043.15.57.431 E007.22.18.411
                                  N043.15.45.499 E007.21.56.495
                                  N043.15.33.844 E007.21.34.298
                                  N043.15.22.470 E007.21.11.829
                                  N043.15.11.380 E007.20.49.092
                                  N043.15.00.578 E007.20.26.095
                                  N043.14.50.066 E007.20.02.845
                                  N043.14.39.849 E007.19.39.349
                                  N043.14.29.929 E007.19.15.613
                                  N043.14.20.309 E007.18.51.646
                                  N043.14.10.993 E007.18.27.454
                                  N043.14.01.982 E007.18.03.044
                                  N043.13.53.280 E007.17.38.423
                                  N043.13.44.890 E007.17.13.600
                                  N043.13.36.813 E007.16.48.581
                                  N043.13.36.813 E007.16.48.581
                                  N043.13.36.813 E007.16.48.581
                                  N043.15.57.524 E006.56.11.108
                                  N043.27.44.398 E007.09.48.499
                                  N043.20.17.520 E007.22.05.904
                                  N043.18.11.170 E007.25.40.757
                                  N043.17.56.677 E007.25.21.990
