REGIONNAME MAPS IRMA NICE CONE ILS 04
COLOR_NCE-Cone                    N043.22.07.698 E006.57.04.814
                                  N043.22.08.256 E006.57.04.474
                                  N043.22.04.383 E006.57.04.457
                                  N043.22.04.560 E006.56.55.757
                                  N043.22.04.847 E006.56.47.061
                                  N043.22.05.244 E006.56.38.374
                                  N043.22.05.752 E006.56.29.698
                                  N043.22.06.369 E006.56.21.035
                                  N043.22.07.097 E006.56.12.389
                                  N043.22.07.934 E006.56.03.761
                                  N043.22.08.880 E006.55.55.155
                                  N043.22.09.935 E006.55.46.572
                                  N043.22.11.099 E006.55.38.017
                                  N043.22.12.372 E006.55.29.490
                                  N043.22.13.752 E006.55.20.996
                                  N043.22.15.240 E006.55.12.535
                                  N043.22.16.835 E006.55.04.112
                                  N043.22.18.536 E006.54.55.729
                                  N043.22.20.344 E006.54.47.387
                                  N043.22.22.257 E006.54.39.090
                                  N043.22.24.275 E006.54.30.841
                                  N043.22.26.398 E006.54.22.641
                                  N043.22.28.624 E006.54.14.493
                                  N043.22.30.953 E006.54.06.400
                                  N043.22.33.385 E006.53.58.365
                                  N043.22.35.918 E006.53.50.388
                                  N043.22.38.551 E006.53.42.474
                                  N043.22.41.285 E006.53.34.624
                                  N043.22.44.118 E006.53.26.842
                                  N043.22.47.049 E006.53.19.128
                                  N043.22.50.077 E006.53.11.486
                                  N043.22.53.202 E006.53.03.917
                                  N043.22.56.423 E006.52.56.425
                                  N043.22.59.737 E006.52.49.012
                                  N043.23.03.146 E006.52.41.679
                                  N043.23.06.646 E006.52.34.429
                                  N043.23.10.239 E006.52.27.264
                                  N043.23.13.921 E006.52.20.187
                                  N043.23.17.692 E006.52.13.199
                                  N043.23.21.552 E006.52.06.303
                                  N043.23.25.498 E006.51.59.500
                                  N043.23.29.530 E006.51.52.794
                                  N043.23.33.646 E006.51.46.185
                                  N043.23.37.846 E006.51.39.676
                                  N043.23.42.127 E006.51.33.269
                                  N043.23.46.489 E006.51.26.965
                                  N043.23.50.930 E006.51.20.768
                                  N043.23.55.448 E006.51.14.678
                                  N043.24.00.043 E006.51.08.697
                                  N043.24.04.714 E006.51.02.828
                                  N043.24.09.457 E006.50.57.072
                                  N043.24.14.273 E006.50.51.431
                                  N043.24.19.160 E006.50.45.906
                                  N043.24.24.116 E006.50.40.499
                                  N043.24.29.139 E006.50.35.213
                                  N043.24.34.229 E006.50.30.047
                                  N043.24.39.383 E006.50.25.005
                                  N043.24.44.601 E006.50.20.088
                                  N043.24.49.879 E006.50.15.296
                                  N043.24.55.218 E006.50.10.632
                                  N043.25.00.615 E006.50.06.097
                                  N043.25.06.068 E006.50.01.693
                                  N043.25.11.576 E006.49.57.420
                                  N043.25.17.137 E006.49.53.280
                                  N043.25.22.750 E006.49.49.275
                                  N043.25.28.412 E006.49.45.404
                                  N043.25.34.123 E006.49.41.671
                                  N043.25.39.880 E006.49.38.075
                                  N043.25.45.681 E006.49.34.618
                                  N043.25.51.526 E006.49.31.302
                                  N043.25.57.411 E006.49.28.126
                                  N043.26.03.335 E006.49.25.092
                                  N043.26.09.297 E006.49.22.201
                                  N043.26.15.294 E006.49.19.453
                                  N043.26.21.325 E006.49.16.850
                                  N043.26.27.388 E006.49.14.393
                                  N043.26.33.481 E006.49.12.082
                                  N043.26.39.603 E006.49.09.917
                                  N043.26.45.750 E006.49.07.900
                                  N043.26.51.922 E006.49.06.031
                                  N043.26.58.117 E006.49.04.310
                                  N043.27.04.332 E006.49.02.739
                                  N043.27.10.566 E006.49.01.318
                                  N043.27.16.817 E006.49.00.046
                                  N043.27.23.083 E006.48.58.925
                                  N043.27.29.362 E006.48.57.955
                                  N043.27.35.652 E006.48.57.136
                                  N043.27.41.951 E006.48.56.468
                                  N043.27.48.258 E006.48.55.952
                                  N043.27.54.570 E006.48.55.588
                                  N043.28.00.885 E006.48.55.375
                                  N043.28.07.202 E006.48.55.315
                                  N043.28.13.519 E006.48.55.406
                                  N043.28.12.809 E006.53.35.443
                                  N043.28.12.809 E006.53.35.443
                                  N043.28.12.281 E006.57.04.280
                                  N043.28.12.668 E006.57.04.814
                                  N043.28.12.279 E006.57.04.814
                                  N043.28.12.278 E006.57.05.351
                                  N043.28.11.890 E006.57.04.814
