REGIONNAME MAPS IRMA NICE CONE NANAX
COLOR_NCE-Cone                    N043.25.16.492 E007.32.13.016
                                  N043.25.18.723 E007.32.20.455
                                  N043.25.21.049 E007.32.27.840
                                  N043.25.23.467 E007.32.35.168
                                  N043.25.25.978 E007.32.42.436
                                  N043.25.28.581 E007.32.49.643
                                  N043.25.31.274 E007.32.56.787
                                  N043.25.34.057 E007.33.03.865
                                  N043.25.36.930 E007.33.10.875
                                  N043.25.39.890 E007.33.17.815
                                  N043.25.42.939 E007.33.24.683
                                  N043.25.46.073 E007.33.31.477
                                  N043.25.49.293 E007.33.38.194
                                  N043.25.52.597 E007.33.44.833
                                  N043.25.55.985 E007.33.51.392
                                  N043.25.59.455 E007.33.57.869
                                  N043.26.03.007 E007.34.04.261
                                  N043.26.06.639 E007.34.10.567
                                  N043.26.10.350 E007.34.16.785
                                  N043.26.14.139 E007.34.22.913
                                  N043.26.18.006 E007.34.28.950
                                  N043.26.21.947 E007.34.34.892
                                  N043.26.25.964 E007.34.40.739
                                  N043.26.30.054 E007.34.46.489
                                  N043.26.34.215 E007.34.52.139
                                  N043.26.38.448 E007.34.57.689
                                  N043.26.42.750 E007.35.03.136
                                  N043.26.47.120 E007.35.08.480
                                  N043.26.51.557 E007.35.13.717
                                  N043.26.56.060 E007.35.18.847
                                  N043.27.00.626 E007.35.23.869
                                  N043.27.05.256 E007.35.28.780
                                  N043.27.09.947 E007.35.33.579
                                  N043.27.14.697 E007.35.38.265
                                  N043.27.19.506 E007.35.42.836
                                  N043.27.24.373 E007.35.47.291
                                  N043.27.29.294 E007.35.51.628
                                  N043.27.34.270 E007.35.55.847
                                  N043.27.39.298 E007.35.59.945
                                  N043.27.44.377 E007.36.03.922
                                  N043.27.49.506 E007.36.07.777
                                  N043.27.54.682 E007.36.11.508
                                  N043.27.59.905 E007.36.15.113
                                  N043.28.05.172 E007.36.18.593
                                  N043.28.10.482 E007.36.21.946
                                  N043.28.15.834 E007.36.25.171
                                  N043.28.21.226 E007.36.28.267
                                  N043.28.26.656 E007.36.31.233
                                  N043.28.32.123 E007.36.34.069
                                  N043.28.37.624 E007.36.36.772
                                  N043.28.43.159 E007.36.39.343
                                  N043.28.48.725 E007.36.41.780
                                  N043.28.54.321 E007.36.44.084
                                  N043.28.59.945 E007.36.46.253
                                  N043.29.05.595 E007.36.48.286
                                  N043.29.11.271 E007.36.50.183
                                  N043.29.16.969 E007.36.51.944
