REGIONNAME MAPS IRMA PROVENCE TMA ACTIVE
COLOR_MRS-AAoR                    N044.40.07.000 E004.13.19.000
                                  N044.40.06.000 E004.27.18.000
                                  N044.40.00.000 E004.51.05.000
                                  N044.40.00.000 E005.01.24.000
                                  N044.35.39.000 E005.01.24.000
                                  N044.31.18.000 E005.21.45.000
                                  N044.21.50.000 E005.22.00.000
                                  N044.17.35.000 E005.20.30.000
                                  N044.05.40.000 E005.16.19.000
                                  N043.52.19.000 E005.21.55.000
                                  N043.40.51.000 E005.26.34.000
                                  N043.38.33.000 E005.27.27.000
                                  N043.32.13.000 E005.33.30.000
                                  N043.30.54.000 E005.42.02.000
                                  N043.29.06.000 E005.53.28.000
                                  N043.28.14.000 E005.59.00.000
                                  N043.08.38.000 E006.01.30.000
                                  N043.10.30.000 E005.52.00.000
                                  N043.01.60.000 E005.37.60.000
                                  N042.30.00.000 E005.37.60.000
                                  N042.30.00.000 E004.17.00.000
                                  N043.00.00.000 E004.17.00.000
                                  N043.03.24.000 E004.22.26.000
                                  N043.15.10.000 E004.29.10.000
                                  N043.17.06.000 E004.29.16.000
                                  N043.23.38.000 E004.12.30.000
                                  N043.28.53.000 E003.58.55.000
                                  N043.33.20.000 E004.02.08.000
                                  N043.33.51.000 E004.02.26.000
                                  N043.38.27.000 E004.04.38.000
                                  N043.37.31.000 E004.09.38.000
                                  N043.33.41.000 E004.30.01.000
                                  N043.48.00.000 E004.38.38.000
                                  N043.49.09.000 E004.36.48.000
                                  N043.51.29.000 E004.33.07.000
                                  N043.52.30.000 E004.31.30.000
                                  N044.01.60.000 E004.20.11.000
